Blocky Stuff,Wall Storage Box,Plain Chest,Office Cabinet,Antique Chest,Plain Closet,Office Locker,Antique Closet,Office Shelf,Plain Stand,Iron Stand,Wooden Stool,Iron Chair,Public Seat,Soft Seat,Box Sofa,Log Bed,Mini Plain Bed,Wall Mirror,Large Mirror,Picnic Basket,Sandwiches,Berry Basket,Letter,Notepad,Book,Open Book,Papers,Newspaper,Photo Frame,Wall Photo Frame,Corkboard,Mini Bookcase,Bookcase,Stone Fireplace,Modern Sink,Cooking Stove,Microwave Oven,Refrigerator,Washing Machine,Sink,Tablet,Cell Phone,Laptop,Television,Wall Monitor,Arcade Machine,Gameboy System,Speaker,Boo-In-The-Box,Cardboard Boxes,Whiteboard,Control Unit,Wall Calendar,Hanging Scroll,Sandbox,Vending Machine,Chansey Plant,Inflatable Boat,Menu Board,Worn Wooden Crate,Wooden Crate,Large Ventilation Fan,Frame,Mini Generator,Wall Light,Town Map,Team Rocket Wall Hanging,
Cleanliness,Waterproof Seat,Modern Sink,Washing Machine,Toilet,Sink,Towel Rack,Bathtime Set,Cleaning Supplies,Shower,Bathtub,Bouncy Blue Bathtub,Water Basin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colorful Stuff,Pokemetal,Paint,Gaming Fridge,Stylish Stool,Antique Chair,Pop Art Chair,Gaming Chair,Antique Sofa,Pop Art Sofa,Pikachu Sofa,Log Bed,Gaming Bed,Pizza,Fried Potatoes,Soda Float,Afternoon Tea Set,Chocolate Cookies,Sandwiches,Shaved Ice,Ribbon Cake,CD Rack,Magazine Rack,Mini Bookcase,Bookcase,Stone Fireplace,Gaming PC,Pinwheels,Knitting Supplies,First Aid Kit,Balloons,Punching Game,Hanging Banner,Party Bunting,Berry Wall Decoration,Wall Mounted Flowers,Garden Flowers,Paintings (all),Water Basin,Raichu Sign,Photo Cutout Board,Pokeball Light,Model Planet,Gaming Light,Paint Balloon,Flowery Table Setting,Lunch Box,Hoppip Water Bottle,Juice Trio,Flower Garland,,,,,,,,,,,,,,,,,,,
Complicated Stuff,Pencil Holder,Letter,Notepad,Book,Open Book,Papers,Newspaper,CD Rack,Magazine Rack,Computer,Microscope,Science Experiment,Jumbled Cords,Audio Mixer,Control Unit,Spacesuit,Antique Clock,Grubby Letter,Grubby Notepad,Grubby Book,Grubby Papers,Grubby Newspaper,Bike,Cash Register,Town Map,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Construction,Sandbags,Metal Drum,Construction Supplies,Iron Pipes,Wheelbarrow,Iron Scaffold Plank,Iron Scaffold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Containers,Wall Storage Box,Plain Chest,Office Cabinet,Gaming Fridge,Pokeball Chest,Berry Case,Antique Chest,Plain Closet,Office Locker,Antique Closet,Office Shelf,Polygonal Shelf,Plain Stand,Iron Stand,Luxury dresser,Cute Dresser,Picnic Basket,Mug,Tea Set,Berry Basket,Small Vase,Leafy Plant,Pitcher Plant Pot,Extravagant Flowers,Tall Potted Plant,Flat Leaf Plant,Twisted Potted plant,Small Garbage Can,Munna Bank,Pencil Holder,Photo Frame,Wall Photo Frame,CD Rack,Magazine Rack,Mini Bookcase,Bookcase,Dining Cabinet,Refrigerator,Washing Machine,First Aid Kit,Jumbled Cords,Boo-In-The-Box,Cardboard Boxes,Wooden Birdhouse,Mailbox,Worn Wooden Crate,Wooden Crate,Barrel,Garbage Bin,Recycling Bin,Metal Drum,Construction Supplies,Wheelbarrow,Frame,Cash Register,Hoppip Water Bottle,Juice Trio,Flower Backpack,,,,,,,,,,
Cute Stuff,Pokeball Chest,Berry Case,Polygonal Shelf,Cute Table,Pop Art Table,Berry Chair,Stylish Stool,Cute Chair,Pop Art Chair,Cute Sofa,Pop Art Sofa,Pikachu Sofa,Pop Art Bed,Berry Bed,Cute Bed,Cute Dresser,Wiggly Mirror,Ribbon Cake,Munna Bank,Bathtime Set,Bouncy Blue Bathtub,Wobbuffet Wobbler,Berry Clock,Rowlet Clock,Castform Weather Charm,Eevee Doll,Pikachu Doll,Clefairy Doll,Arcanine Doll,Dragonite Doll,Ditto Doll,Substitute Doll,Eerie Candle,Chansey Plant,Photo Cutout Board,Berry Tablet Lamp,Cute Lamp,Model Planet,Meteor Lamp (all),Luxury Lamp,Shell Lamp,Berry Hanging Lamp,Cute Flower,Heart Scale,Fairy Feather,Flower Cushion,Flowery Table Setting,Lunch Box,Hoppip Water Bottle,Flower Backpack,,,,,,,,,,,,,,,,,,
Electronics,Gaming Fridge,Gaming Chair,Gaming Bed,Microwave Oven,Refrigerator,Fan,Air Conditioner,Printer,Washing Machine,Toilet,Tablet,Cell Phone,Laptop,Computer,Gaming PC,Television,Wall Monitor,Arcade Machine,Gameboy System,Humidifier,Jumbled Cords,CD Player,Tabletop mic,Standing Mic,Cool Electric Guitar,Cool Bass Guitar,Audio Mixer,Speaker,Ceiling Fan,Utility Pole,Wireless Transmitter,Mini Generator,Floor Switch,Wall Switch,Card Reader,Laser Sensor,Security Camera,Town Streetlight,Harbor Streetlight,Chic Streetlight,Double Streetlight,Mushroom Lamp,Plain Lamp,Desk Light,Pokeball Light,Berry Tablet Lamp,Cute Lamp,Pokeball Lamp,Model Planet,Meteor Lamp (all),Luxury Lamp,Garden Light,Lantern,Seedot Lamp,Mirror Ball,Wall Light,Shell Lamp,Flourescent Light,Gaming Light,Resort Light,String Lights,Berry Hanging Lamp,Surface Light,Spotlight,Antique Chandelier,,,
Exercise,Punching Game,Wobbuffet Wobbler,Punching Bag,Bike,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fabric,Fluff,Plain Chest,Plain Closet,Plain Stand,Simple Cushion,Plain Stool,Resort Stool,Stylish Stool,Soft Seat,Box Sofa,Plain Chair,Chic Chair,Fancy Chair,Antique Chair,Office Chair,Cute Chair,Pop Art Chair,Gaming Chair,Plain Sofa,Resort Sofa,Chic Sofa,Antique Sofa,Luxury Sofa,Cute Sofa,Pop Art Sofa,Pikachu Sofa,Log Bed,Mini Plain Bed,Resort Bed,Iron Bed,Beach Chair,Pop Art Bed,Pokeball Bed,Berry Bed,Plain Bed,Resort hammock,Guest Room Bed,Antique Bed,Industrial Bed,Cute Bed,Picnic Basket,Table Setting,Towel Rack,Knitting Supplies,Crystal Ball,Berry Clock,Hanging Banner,Party Bunting,Castform Weather Charm,Eevee Doll,Pikachu Doll,Clefairy Doll,Arcanine Doll,Dragonite Doll,Ditto Doll,Substitute Doll,Punching Bag,Blank Canvas,Paintings (all),Beach Parasol,Sandbags,Plain Lamp,Luxury Lamp,Silk Scarf,Room Service,,,
Garbage,Nonburnable Garbage,Wastepaper,Small Garbage Can,Jumbled Cords,Grubby Letter,Grubby Notepad,Grubby Book,Grubby Papers,Grubby Newspaper,Grubby Tablet,Grubby Cell Phone,Garbage Bags,Garbage Bin,Recycling Bin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gatherings,Office Shelf,Tea Set,Table Setting,Paper Party Cups,Fried Potatoes,Afternoon Tea Set,Chocolate Cookies,Sandwiches,Pencil Holder,Corkboard,CD Rack,Magazine Rack,Dining Cabinet,Toy Blocks,Pinwheels,Knitting Supplies,Science Experiment,Jumbled Cords,Balloons,Cardboard Boxes,Whiteboard,Decorative Bookshelf,Decorative Storage Shelf,Decorative Plant Shelf,Berry Wall Decoration,Garden Ornament,Photo Cutout Board,Garbage Bags,Sandbags,Tires,Construction Supplies,Iron Pipes,Gaming Light,String Lights,Flowery Table Setting,Lunch Box,Juice Trio,Flower Garland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Glass Stuff,Sea Glass Fragments,Crystal Fragment,Glass Stuff,Gaming Fridge,Office Shelf,Wall Mirror,Large Mirror,Antique dresser,Luxury dresser,Cute Dresser,Wiggly Mirror,Dining Cabinet,Microwave Oven,Printer,Washing Machine,Tablet,Cell Phone,Laptop,Computer,Gaming PC,Television,Wall Monitor,Arcade Machine,Alarm Clock,Humidifier,Crystal Ball,Microscope,Science Experiment,Spacesuit,Spaceship,Antique Clock,Vending Machine,Raichu Sign,Card Reader,Town Streetlight,Harbor Streetlight,Chic Streetlight,Double Streetlight,Plain Lamp,Desk Light,Pokeball Light,Berry Tablet Lamp,Cute Lamp,Pokeball Lamp,Meteor Lamp (all),Luxury Lamp,Garden Light,Lantern,Seedot Lamp,Mirror Ball,Wall Light,Shell Lamp,Flourescent Light,Gaming Light,String Lights,Pop Art Lamp,Berry Hanging Lamp,Surface Light,Spotlight,Antique Chandelier,Clear Amulet,Modern Door,Glass Window,Window Pane,Stained Glass Window,Sash Window,Water Pillar Quarter,Juice Trio
Group Activities,Wooden Bench,Stone Bench,Plain Sofa,Resort Sofa,Chic Sofa,Antique Sofa,Iron Bench,Industrial Bench,Luxury Sofa,Garden Bench,Cute Sofa,Pop Art Sofa,Pokeball Sofa,Pikachu Sofa,Pop Art Bed,Wooden Bed,Plain Bed,Guest Room Bed,Antique Bed,Industrial Bed,Luxury Bed,Gaming Bed,Picnic Basket,Tea Set,Table Setting,Paper Party Cups,Photo Frame,Television,Wall Monitor,Arcade Machine,Knitting Supplies,Gameboy System,Jumbled Cords,CD Player,Standing Mic,Boo-In-The-Box,Whiteboard,Campfire,Firepit,Bonfire,Sandbox,Tire Toy,Slide,Vending Machine,Small Stage,Canoe,Inflatable Boat,Photo Cutout Board,Construction Supplies,Flower Cushion,Flowery Table Setting,,,,,,,,,,,,,,,,,
Hard Stuff,Stone,Iron Stand,Iron Table,Iron rack,Stone Table,Stone Bench,Stone Fireplace,Strength Rock,Stone Tiling wallpaper,Stone Flooring wallpaper,Stone Brick Wall wallpaper,Iron Ball,Lagging Tail,Skull Fossil,Armor Fossil,Jaw Fossil,Sail Fossil,Wing Fossil (All),Headbutt Fossil (All),Shield Fossil (All),Despot Fossil (All),Tundra Fossil (All),Stone Brick Wall,Stone Pillar (All),Stone Flooring,Stone Tiling,Stone Steps,Stone Hipped Roof,Stone Roof Valley,Stone Roof Decoration,Stone Debris,Metal Debris,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Healing,Humidifier,First Aid Kit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Letters and Words,Office Shelf,Letter,Notepad,Book,Open Book,Papers,Newspaper,Television,Wall Monitor,Science Experiment,Whiteboard,Wall Calendar,Decorative Bookshelf,Hanging Scroll,Grubby Letter,Grubby Notepad,Grubby Book,Grubby Papers,Grubby Newspaper,Gravestone,Arrow Sign,Menu Board,Sign,Signpost,Information Board,Raichu Sign,Frame,Weakness Policy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
